event_id,meeting,deadline,date,estimated,kind,city,country,url
marce-2026,International Marcé Society Biennial Conference 2026,Preconference workshop abstract submission,2025-11-30,no,submission,Cape Town,ZA,https://marceconference2026.com/call-for-abstracts/
marce-2026,International Marcé Society Biennial Conference 2026,Oral and poster abstract submission,2026-03-15,no,submission,Cape Town,ZA,https://marceconference2026.com/call-for-abstracts/
marce-2026,International Marcé Society Biennial Conference 2026,Symposium abstract submission,2026-03-15,no,submission,Cape Town,ZA,https://marceconference2026.com/call-for-abstracts/
marce-2026,International Marcé Society Biennial Conference 2026,Acceptance notifications,2026-05-15,no,notification,Cape Town,ZA,https://marceconference2026.com/call-for-abstracts/
marce-2026,International Marcé Society Biennial Conference 2026,Early registration,2026-06-30,no,registration,Cape Town,ZA,https://marceconference2026.com/registration-form/
marce-2026,International Marcé Society Biennial Conference 2026,Presenter registration deadline,2026-07-30,no,registration,Cape Town,ZA,https://marceconference2026.com/call-for-abstracts/
psych-congress-2026,Psych Congress 2026,Poster abstract submission opens,2026-03-26,no,opens,New Orleans,US,https://www.hmpglobalevents.com/psych-congress/poster-abstracts
psych-congress-2026,Psych Congress 2026,Poster submission for Latest Discoveries and Emerging Trends sessions,2026-07-27,no,submission,New Orleans,US,https://www.hmpglobalevents.com/psych-congress/poster-abstracts
psych-congress-2026,Psych Congress 2026,Poster abstract submission deadline,2026-08-07,no,submission,New Orleans,US,https://www.hmpglobalevents.com/psych-congress/poster-abstracts
isctm-autumn-2026,ISCTM 2026 Autumn Conference,Poster submission,2026-06-18,no,submission,Philadelphia,US,https://isctm.org/upcoming-at-isctm/
isctm-autumn-2026,ISCTM 2026 Autumn Conference,Speaker abstract submission,2026-07-01,no,submission,Philadelphia,US,https://isctm.org/2026-autumn-conference-speakers-corner/
isctm-autumn-2026,ISCTM 2026 Autumn Conference,Speaker slide submission,2026-09-03,no,submission,Philadelphia,US,https://isctm.org/2026-autumn-conference-speakers-corner/
istss-2026,ISTSS 42nd Annual Meeting 2026,Proposal submission,2026-02-19,no,submission,San Antonio,US,https://istss.org/annual-meeting-hub/
