id,name,short_name,organizer,organizer_url,edition_url,areas,tags,start_date,end_date,format,city,region_name,country,venue,lat,lon,description,deadlines,confidence,notes,sources
marce-2026,International Marcé Society Biennial Conference 2026,Marcé 2026,International Marcé Society for Perinatal Mental Health,https://marcesociety.com/,https://marceconference2026.com/,psychiatry,perinatal; international; global,2026-09-06,2026-09-09,in-person,Cape Town,Western Cape,ZA,Century City Conference Centre,-33.8912,18.5108,"The International Marcé Society biennial conference is held September 6 to 9, 2026 at the Century City Conference Centre in Cape Town, the society's first meeting in Africa. The theme is Ubuntu and the event is exclusively in person.",Preconference workshop abstract submission = 2025-11-30; Oral and poster abstract submission = 2026-03-15; Symposium abstract submission = 2026-03-15; Acceptance notifications = 2026-05-15; Early registration = 2026-06-30; Presenter registration deadline = 2026-07-30,high,The meeting ends on the access date. The next international biennial (2028) is not yet listed on marcesociety.com.,https://marceconference2026.com/; https://marceconference2026.com/call-for-abstracts/; https://marceconference2026.com/registration-form/; https://marcesociety.com/meetings/marce-meetings/
psych-congress-2026,Psych Congress 2026,Psych Congress 2026,HMP Global,https://www.hmpglobalevents.com/,https://www.hmpglobalevents.com/psych-congress,psychiatry,psychopharmacology; general-psychiatry,2026-09-15,2026-09-19,in-person,New Orleans,Louisiana,US,New Orleans Ernest N. Morial Convention Center,29.9407,-90.063,"A clinical psychopharmacology conference for psychiatrists, nurse practitioners and other prescribers, organized by HMP Global. Poster sessions take place in the exhibit hall on September 17 and 18, 2026.",Poster abstract submission opens = 2026-03-26; Poster submission for Latest Discoveries and Emerging Trends sessions = 2026-07-27; Poster abstract submission deadline = 2026-08-07,high,"All 2026 submission deadlines have passed as of September 9, 2026. Psych Congress 2027 dates and city are not yet published on HMP Global pages. Registration tier deadlines were not found (registration page returned 404).",https://www.hmpglobalevents.com/psych-congress/poster-abstracts; https://www.hmpglobalevents.com/psych-congress; https://hotels.hmpglobalevents.com/events/psych-congress; https://www.hmpglobalevents.com/psychcongressportfolio; https://www.conferenceabstracts.com/uploads/documents/25073/PsychCongressPosters2025_SubmissionGuidelines.pdf
isctm-autumn-2026,ISCTM 2026 Autumn Conference,ISCTM Autumn 2026,International Society for CNS Clinical Trials and Methodology,https://isctm.org/,https://isctm.org/meeting/2026-autumn-conference/,psychiatry,clinical-trials; psychopharmacology,2026-09-16,2026-09-17,in-person,Philadelphia,Pennsylvania,US,The Westin Philadelphia,39.952,-75.1684,"The ISCTM 2026 Autumn Conference meets September 16 to 17, 2026, at the Westin Philadelphia. Sessions cover biomarkers, novel endpoints in mood and psychosis trials, neuromodulation and digital health technologies; poster submissions closed June 18, 2026.",Poster submission = 2026-06-18; Speaker abstract submission = 2026-07-01; Speaker slide submission = 2026-09-03,high,The meeting registration site (isctmautumn.societyconference.com) is JavaScript rendered; registration deadlines were not visible.,https://isctm.org/upcoming-at-isctm/; https://isctm.org/2026-autumn-conference-speakers-corner/; https://isctm.org/
istss-2026,ISTSS 42nd Annual Meeting 2026,ISTSS 2026,International Society for Traumatic Stress Studies,https://istss.org/,https://istss.org/annual-meeting-hub/,psychiatry,trauma; psychology; international,2026-09-23,2026-09-26,,San Antonio,Texas,US,San Antonio Marriott Rivercenter on the River Walk,29.4237,-98.4852,"The 42nd ISTSS Annual Meeting is held in San Antonio under the theme Traumatic Stress in a Troubled World: Collaboration on Evidence and Action. The program includes premeeting institutes, keynotes, symposia, papers, flash talks and posters.",Proposal submission = 2026-02-19; Registration cancellation deadline = 2026-08-14,high,Meeting begins two weeks after the access date. No early registration deadline is shown on the current hub; the registration page still displays 2024 tiers. No information about the 2027 (43rd) meeting was found on istss.org.,https://istss.org/annual-meeting-hub/; https://istss.org/meetings-events/upcoming-events/; https://istss.org/wp-content/uploads/2026/01/2026-Call-for-Proposals.pdf
wpa-world-congress-2026,26th World Congress of Psychiatry (WCP 2026),WPA WCP 2026,World Psychiatric Association,https://www.wpanet.org/,https://wcp-congress.com/,psychiatry,general-psychiatry; international; global,2026-09-23,2026-09-26,in-person,Stockholm,Stockholm County,SE,Stockholmsmässan,59.2787,18.0154,"The 26th World Congress of Psychiatry is organized by the World Psychiatric Association together with the Swedish Psychiatric Association under the theme Guided by Compassion, Grounded in Science: Psychiatry for Our Time. The programme covers clinical, research and policy topics across psychiatry.",Session proposal submission = 2026-02-09; Fellowship applications = 2026-03-19; Abstract submission = 2026-03-23; Early registration = 2026-06-02; Regular registration = 2026-08-18,high,All submission deadlines have passed; registration remains open at the late rate. The congress rotates between regions each year.,https://wcp-congress.com/; https://wcp-congress.com/general-information/; https://www.wpanet.org/upcoming-congresses-events/; https://2025.wcp-congress.com/abstract-submission/
acs-clinical-congress-2026,Clinical Congress 2026,ACS CC 2026,American College of Surgeons,https://www.facs.org,https://www.facs.org/for-medical-professionals/conferences-and-meetings/clinical-congress-2026/,surgery,surgery; student-resident-research,2026-09-26,2026-09-29,hybrid,Washington,District of Columbia,US,Walter E. Washington Convention Center,38.9047,-77.0233,"Clinical Congress is the annual educational meeting of the American College of Surgeons, offering courses, scientific sessions, and abstract presentations across surgical specialties. The 2026 edition takes place at the Walter E. Washington Convention Center and includes in person attendance with virtual participation options.","General scientific abstract, surgical video, and history poster submission = 2026-03-02; High-Impact Clinical Trials and Studies submission opens = 2026-06-01; High-Impact Clinical Trials and Studies submission = 2026-07-01; Medical Student Program abstract submission = 2026-06-26",high,"Venue name (Walter E. Washington Convention Center) confirmed via a secondary ACS exhibitor/planning summary rather than the primary landing page, which did not name the venue directly. No early registration deadline date was found on the fetched pages; registration was described as open with an unspecified early-bird rate.",https://www.facs.org/for-medical-professionals/conferences-and-meetings/clinical-congress-2026/; https://www.facs.org/for-medical-professionals/conferences-and-meetings/clinical-congress-2026/call-for-abstracts/; https://www.facs.org/for-medical-professionals/news-publications/news-and-articles/acs-brief/february-24-2026-issue/last-call-for-clinical-congress-2026-abstracts-submit-by-march-2/
astro-annual-2026,2026 ASTRO Annual Meeting,ASTRO 2026,American Society for Radiation Oncology,https://www.astro.org,https://www.astro.org/meetings-and-education/micro-sites/2026/annual-meeting,oncology,radiation-oncology; cancer-research; clinical-trials,2026-09-26,2026-09-30,hybrid,Boston,Massachusetts,US,Thomas M. Menino Convention and Exhibition Center,42.3453,-71.0392,The ASTRO Annual Meeting is the annual meeting of the American Society for Radiation Oncology for radiation oncology clinicians and researchers. The 2026 meeting is held in Boston with a virtual attendance option.,Abstract submission = 2026-02-24; Notification of abstract acceptance = 2026-05-14; Registration opens = 2026-05-14; Early registration = 2026-06-25,medium,Direct fetches of astro.org returned HTTP 402 for this session; data was drawn from search engine snippets of official ASTRO pages instead of full page fetches.,https://www.astro.org/meetings-and-education/micro-sites/2026/annual-meeting/learn/scientific-program/abstracts; https://www.astro.org/news-and-publications/news-and-media-center/news-releases/2026/astro-to-host-annual-meeting-in-boston; https://www.astro.org/meetings-and-education/micro-sites/2026/annual-meeting/attend/registration
accp-clinpharm-annual-2026,2026 Annual Meeting of the American College of Clinical Pharmacology,ACCP 2026,American College of Clinical Pharmacology,https://accp1.org,https://accp1.org/Members/ACCP1/3Annual_Meeting/2026-ACCP-Annual-Meeting.aspx,pharmacy,pharmacy; translational; education,2026-09-27,2026-09-29,,North Bethesda,Maryland,US,Bethesda North Marriott Hotel & Conference Center,39.0447,-77.1153,"The American College of Clinical Pharmacology holds its 2026 annual meeting in North Bethesda, Maryland. The program includes symposia, a pre-meeting workshop on cardiac safety in drug development, and a clinical pharmacology review course jointly sponsored with the American Board of Clinical Pharmacology.",Early registration = 2026-06-30,medium,Official accp1.org meeting page blocked direct fetching (HTTP 403); details confirmed via a PR Newswire release distributed by ACCP and search engine snippets of the official page. Note this organization (American College of Clinical Pharmacology) is distinct from the similarly abbreviated American College of Clinical Pharmacy.,https://www.prnewswire.com/news-releases/2026-annual-meeting-of-the-american-college-of-clinical-pharmacology-302747501.html; https://accp1.org/Members/ACCP1/3Annual_Meeting/2026-ACCP-Annual-Meeting.aspx
isbd-annual-2026,ISBD 28th Annual Conference 2026,ISBD 2026,International Society for Bipolar Disorders,https://www.isbd.org/,https://www.isbd.org/annual-conference/,psychiatry,mood-disorders; international,2026-09-28,2026-09-30,in-person,Vancouver,British Columbia,CA,The Westin Bayshore Vancouver,49.2926,-123.1264,"The 28th ISBD Annual Conference runs September 28 to 30, 2026, at the Westin Bayshore in Vancouver with about 700 attendees expected. All abstract and travel award submissions are closed and notifications have been sent; registration remains open.",Registration cancellation for partial refund = 2026-08-14; Hotel block reservation = 2026-08-27,high,"The ISBD submissions page (isbd.org/submissions) returns 404, so the 2026 abstract deadline could not be recovered. One ISBD news post gives the dates as September 29 to 30; the conference page and program (opening ceremony Monday September 28) support September 28 to 30.",https://www.isbd.org/annual-conference/; https://www.isbd.org/registration-open-for-isbd-2026-conference/; https://onlinelibrary.wiley.com/toc/13995618/2025/27/S1
uiuc-pn-innovation-day-2026,Personalized Nutrition Initiative Innovation Day 2026,PN Innovation Day 2026,"Personalized Nutrition Initiative, University of Illinois Urbana-Champaign",https://personalizednutrition.research.illinois.edu,https://personalizednutrition.research.illinois.edu/2026-pn-innovation-day/,public-health; endocrinology,uiuc; obesity; endocrine; health-services; illinois,2026-09-28,2026-09-30,in-person,Urbana,Illinois,US,"Illini Union, University of Illinois Urbana-Champaign",40.1092,-88.2276,"PN Innovation Day is the Personalized Nutrition Initiative's annual meeting bringing together university researchers and external partners around personalized nutrition research, with a call for abstracts. The 2026 edition runs September 28 to 30, 2026 at the Illini Union, including a clinical research facility tour and welcome dinner, the main programming day, and an external partners program meeting.",Abstract submission deadline = 2026-08-24,high,"The event was formerly a one day symposium (for example in 2021) and has since expanded into a multi-day Innovation Day. The abstract deadline has already passed relative to the September 10, 2026 access date, but the event itself is still upcoming.",https://personalizednutrition.research.illinois.edu/2026-pn-innovation-day/; https://personalizednutrition.research.illinois.edu/events/past-events/
aanem-annual-2026,2026 AANEM Annual Meeting,AANEM 2026,American Association of Neuromuscular and Electrodiagnostic Medicine,https://www.aanem.org/,https://www.aanem.org/meetings/annual-meeting,neurology,neuromuscular,2026-09-29,2026-10-02,in-person,Orlando,Florida,US,Signia by Hilton Orlando Bonnet Creek,28.3843,-81.5563,"The American Association of Neuromuscular and Electrodiagnostic Medicine holds its annual meeting in Orlando, Florida, with sessions on electrodiagnostic medicine and neuromuscular disease. The program includes the Myasthenia Gravis Foundation of America scientific session on September 29.",Abstract submission opens = 2026-01-01; Abstract submission = 2026-03-15; MGFA Scientific Session abstract submission opens = 2026-03-09; MGFA Scientific Session abstract submission = 2026-05-01; Early registration = 2026-07-14; Regular registration = 2026-08-31,high,,https://www.aanem.org/; https://www.aanem.org/meetings/annual-meeting; https://www.aanem.org/meetings/annual-meeting/abstract-information-submission; https://www.aanem.org/meetings/annual-meeting/registration-information; https://r.jina.ai/https://www.newswise.com/articles/abstract-submission-open-for-2026-aanem-annual-meeting
